transaction_id,date,time,merchant_name,category,type,amount,payment_mode,upi_id,remarks
TXN00001,2025-02-23,19:29,Swiggy,Food,Debit,945,UPI,karthik@upi,Auto generated transaction
TXN00002,2025-02-23,23:25,Cafe Coffee Day,Food,Debit,1484,UPI,karthik@upi,Auto generated transaction
TXN00003,2025-02-23,16:41,Amazon,Shopping,Debit,523,UPI,karthik@upi,Auto generated transaction
TXN00004,2025-02-23,8:34,HP Petrol Pump,Fuel,Debit,640,UPI,karthik@upi,Auto generated transaction
TXN00005,2025-02-24,18:19,DMart,Grocery,Debit,1968,UPI,karthik@upi,Auto generated transaction
TXN00006,2025-02-24,11:23,Swiggy,Food,Debit,1761,UPI,karthik@upi,Auto generated transaction
TXN00007,2025-02-24,12:42,Flipkart,Shopping,Debit,2400,UPI,karthik@upi,Auto generated transaction
TXN00008,2025-02-25,17:12,Blinkit,Grocery,Debit,895,UPI,karthik@upi,Auto generated transaction
TXN00009,2025-02-25,11:48,Hyderabad Metro,Travel,Debit,2482,UPI,karthik@upi,Auto generated transaction
TXN00010,2025-02-25,19:49,DMart,Grocery,Debit,466,UPI,karthik@upi,Auto generated transaction
TXN00011,2025-02-25,14:10,Amazon,Shopping,Debit,222,UPI,karthik@upi,Auto generated transaction
TXN00012,2025-02-26,11:20,Google Pay Rewards,Credit,Credit,27,UPI,karthik@upi,Auto generated transaction
TXN00013,2025-02-26,16:05,Swiggy,Food,Debit,1367,UPI,karthik@upi,Auto generated transaction
TXN00014,2025-02-26,12:04,HP Petrol Pump,Fuel,Debit,2040,UPI,karthik@upi,Auto generated transaction
TXN00015,2025-02-27,9:30,Uber,Travel,Debit,2484,UPI,karthik@upi,Auto generated transaction
TXN00016,2025-02-27,21:49,Ola,Travel,Debit,173,UPI,karthik@upi,Auto generated transaction
TXN00017,2025-02-28,13:02,HP Petrol Pump,Fuel,Debit,799,UPI,karthik@upi,Auto generated transaction
